PERSON_ID,PERSON_TYPE,CRASH_DATE,CITY,ZIPCODE,SEX,AGE,AIRBAG_DEPLOYED,INJURY_CLASSIFICATION,HOSPITAL,DRIVER_ACTION,Hour,Day,WeekDay,Month
O1191416,2,9/25/2021 0:17,CHICAGO,60626,F,24,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,MOSANIC,UNKNOWN,0,25,5,9
O1191432,2,9/25/2021 0:47,CHICAGO,60621,F,58,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,OTHER,0,25,5,9
O1191439,2,9/25/2021 1:32,CHICAGO,60621,M,23,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,OTHER,1,25,5,9
O1191472,2,9/25/2021 1:56,CHICAGO,60608,F,25,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,DISREGARDED CONTROL DEVICES,1,25,5,9
O1191473,2,9/25/2021 1:56,CHICAGO,60657,M,38,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,NORTHWESTERN MEMORIAL HOSPITAL,NONE,1,25,5,9
O1191464,2,9/25/2021 1:59,CHICAGO,60651,F,37,DID NOT DEPLOY,NONINCAPACITATING INJURY,MT.SINAI,UNKNOWN,1,25,5,9
O1191485,2,9/25/2021 2:55,CHICAGO,60628,F,35,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,ROSELAND HOSPITAL,UNKNOWN,2,25,5,9
O1191486,2,9/25/2021 3:18,CHICAGO,60624,M,70,DID NOT DEPLOY,NONINCAPACITATING INJURY,NORWEGIAN,NONE,3,25,5,9
O1191504,2,9/25/2021 4:40,CHICAGO,60630,M,23,DID NOT DEPLOY,NO INDICATION OF INJURY,COMMUNITY FIRST,UNKNOWN,4,25,5,9
O1191503,2,9/25/2021 4:45,CHICAGO,60644,F,69,DID NOT DEPLOY,NO INDICATION OF INJURY,WEST SUBURBAN,NONE,4,25,5,9
O1191521,2,9/25/2021 6:30,CHICAGO,60652,M,42,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,FAILED TO YIELD,6,25,5,9
O1191527,2,9/25/2021 7:30,CHICAGO,60707,M,44,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,IMPROPER PASSING,7,25,5,9
O1191528,2,9/25/2021 7:30,CHICAGO,60639,F,47,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,NONE,7,25,5,9
O1191560,2,9/25/2021 8:20,CHICAGO,60639,M,49,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,FOLLOWED TOO CLOSELY,8,25,5,9
O1194383,2,9/25/2021 9:45,CHICAGO,60620,M,80,DEPLOYMENT UNKNOWN,NONINCAPACITATING INJURY,ST.BERNARDS,DISREGARDED CONTROL DEVICES,9,25,5,9
O1191626,2,9/25/2021 10:50,CHICAGO,60639,M,28,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,FAILED TO YIELD,10,25,5,9
O1191696,2,9/25/2021 11:15,CHICAGO,60827,F,22,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",TRINITY HOSPITAL,OTHER,11,25,5,9
O1191762,2,9/25/2021 11:45,CHICAGO,60649,M,33,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,FAILED TO YIELD,11,25,5,9
O1191763,2,9/25/2021 11:45,CHICAGO,60641,F,44,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,NONE,11,25,5,9
O1191683,2,9/25/2021 11:55,CHICAGO,60630,M,66,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,11,25,5,9
O1191684,2,9/25/2021 11:55,CHICAGO,60646,F,30,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,11,25,5,9
O1191697,2,9/25/2021 12:15,CHICAGO,60649,F,59,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,12,25,5,9
O1191698,2,9/25/2021 12:15,CHICAGO,60653,F,36,DID NOT DEPLOY,NONINCAPACITATING INJURY,U OF C,UNKNOWN,12,25,5,9
O1191710,2,9/25/2021 12:45,CHICAGO,60618,M,52,DID NOT DEPLOY,NO INDICATION OF INJURY,DNA,FAILED TO YIELD,12,25,5,9
O1191735,2,9/25/2021 13:20,CHICAGO,60647,F,70,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,13,25,5,9
O1191736,2,9/25/2021 13:20,CHICAGO,60651,M,22,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,13,25,5,9
O1191728,2,9/25/2021 13:30,CHICAGO,60644,M,57,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,13,25,5,9
O1191777,2,9/25/2021 13:40,CHICAGO,60612,M,25,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,13,25,5,9
O1191814,2,9/25/2021 13:50,CHICAGO,60629,F,22,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,FOLLOWED TOO CLOSELY,13,25,5,9
O1191858,2,9/25/2021 15:40,CHICAGO,60629,M,18,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,UNKNOWN,15,25,5,9
O1191859,2,9/25/2021 15:40,CHICAGO,60629,F,60,"DEPLOYED, COMBINATION","REPORTED, NOT EVIDENT",REFUSED,NONE,15,25,5,9
O1191903,2,9/25/2021 15:45,CHICAGO,60621,M,40,NOT APPLICABLE,NO INDICATION OF INJURY,DECLINED EMS,UNKNOWN,15,25,5,9
O1193877,2,9/25/2021 17:00,CHICAGO,60626,M,45,NOT APPLICABLE,NONINCAPACITATING INJURY,ST FRANCIS HOSPITAL,UNKNOWN,17,25,5,9
O1191966,2,9/25/2021 17:30,CHICAGO,60660,M,59,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSE/ON SCENE,OVERCORRECTED,17,25,5,9
O1191951,2,9/25/2021 17:35,CHICAGO,60639,M,20,"DEPLOYED, SIDE",NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,17,25,5,9
O1191952,2,9/25/2021 17:35,CHICAGO,60634,M,19,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,17,25,5,9
O1194109,2,9/25/2021 17:46,CHICAGO,60609,F,66,NOT APPLICABLE,NO INDICATION OF INJURY,DNA,NONE,17,25,5,9
O1192772,2,9/25/2021 19:45,CHICAGO,60661,F,27,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,19,25,5,9
O1192037,2,9/25/2021 19:53,CHICAGO,60624,M,52,DEPLOYMENT UNKNOWN,NO INDICATION OF INJURY,REFUSED,IMPROPER LANE CHANGE,19,25,5,9
O1192038,2,9/25/2021 19:53,CHICAGO,60624,M,32,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,19,25,5,9
O1192056,2,9/25/2021 20:12,CHICAGO,60632,M,27,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,20,25,5,9
O1192058,2,9/25/2021 20:12,CHICAGO,60618,M,41,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,20,25,5,9
O1192117,2,9/25/2021 22:32,CHICAGO,60655,M,27,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,FAILED TO YIELD,22,25,5,9
O1192118,2,9/25/2021 22:32,CHICAGO,60629,F,21,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,22,25,5,9
O1192120,2,9/25/2021 23:04,CHICAGO,60636,M,40,DID NOT DEPLOY,"REPORTED, NOT EVIDENT",ST BERNARD,OTHER,23,25,5,9
O1192125,2,9/25/2021 23:20,CHICAGO,60636,M,32,"DEPLOYED, COMBINATION",NO INDICATION OF INJURY,REFUSED,DISREGARDED CONTROL DEVICES,23,25,5,9
O1192176,2,9/25/2021 23:31,CHICAGO,60621,M,58,DID NOT DEPLOY,NONINCAPACITATING INJURY,CHRIST HOSPITAL,UNKNOWN,23,25,5,9
O1192177,2,9/25/2021 23:31,CHICAGO,60643,F,33,DID NOT DEPLOY,NONINCAPACITATING INJURY,ROSELAND,NONE,23,25,5,9
O1192142,2,9/25/2021 23:50,CHICAGO,60620,M,35,NOT APPLICABLE,NONINCAPACITATING INJURY,ADVOCATE CHRIST HOSPITAL,FAILED TO YIELD,23,25,5,9
O1192168,2,9/26/2021 1:35,CHICAGO,60636,M,54,"DEPLOYED, FRONT",INCAPACITATING INJURY,NORTHWESTERN,UNKNOWN,1,26,6,9
O1203661,2,9/26/2021 2:30,CHICAGO,60634,M,44,"DEPLOYED, COMBINATION",INCAPACITATING INJURY,TRINITY,NONE,2,26,6,9
O1193476,2,9/26/2021 2:35,CHICAGO,60644,M,36,"DEPLOYED, COMBINATION",NONINCAPACITATING INJURY,UOFC,NONE,2,26,6,9
O1192320,2,9/26/2021 5:30,CHICAGO,60639,M,63,"DEPLOYED, FRONT",INCAPACITATING INJURY,DNA,FAILED TO YIELD,5,26,6,9
O1192321,2,9/26/2021 5:30,CHICAGO,60634,M,23,"DEPLOYED, SIDE",NO INDICATION OF INJURY,DNA,NONE,5,26,6,9
O1192250,2,9/26/2021 6:25,CHICAGO,60621,M,23,DID NOT DEPLOY,NONINCAPACITATING INJURY,SWEDISH COVENANT,UNKNOWN,6,26,6,9
O1192238,2,9/26/2021 7:01,CHICAGO,60645,M,28,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,26,6,9
O1192239,2,9/26/2021 7:01,CHICAGO,60640,F,0,DID NOT DEPLOY,NO INDICATION OF INJURY,REFUSED,NONE,7,26,6,9
O1192265,2,9/26/2021 8:00,CHICAGO,60629,M,73,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,8,26,6,9
O1192266,2,9/26/2021 8:00,CHICAGO,60624,F,48,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,UNKNOWN,8,26,6,9
O1192284,2,9/26/2021 8:20,CHICAGO,60640,M,22,"DEPLOYED, FRONT",NO INDICATION OF INJURY,REFUSED,NONE,8,26,6,9
O1192300,2,9/26/2021 9:30,CHICAGO,60651,M,63,NOT APPLICABLE,NO INDICATION OF INJURY,REFUSED,OTHER,9,26,6,9
O1192353,2,9/26/2021 10:35,CHICAGO,60629,F,19,"DEPLOYED, FRONT",NONINCAPACITATING INJURY,HOLY CROSS,IMPROPER TURN,10,26,6,9
O1192369,2,9/26/2021 12:00,CHICAGO,60601,M,48,DID NOT DEPLOY,NO INDICATION OF INJURY,NONE,IMPROPER PASSING,12,26,6,9
