LAT,LOG,YEAR,Month,Street
41.830054074,-87.617319929,2020,3,DR MARTIN LUTHER KING JR DR
41.880582625,-87.6424725,2020,3,JEFFERSON ST
41.736043061,-87.667781645,2020,3,WOOD ST
41.884515458,-87.6474973,2020,3,RANDOLPH ST
41.876818253,-87.6308945,2020,3,CLARK ST
41.874850485,-87.746300575,2020,3,VAN BUREN ST
41.912845148,-87.765782681,2020,3,CENTRAL AVE
41.934404704,-87.639494553,2020,3,SHERIDAN RD
41.866659489,-87.643934985,2020,3,RUBLE ST
41.946571165,-87.762004867,2020,3,LONG AVE
41.873404645,-87.720399628,2020,3,HARRISON ST
41.889095178,-87.631569424,2020,3,KINZIE ST
41.95517597,-87.893078846,2020,3,IRVING PARK RD
41.86605599,-87.644931325,2020,3,UNION AVE
41.930747198,-87.79753584,2020,3,DIVERSEY AVE
41.918132056,-87.776593204,2020,3,MC VICKER AVE
41.773093775,-87.662668515,2020,3,JUSTINE ST
41.752413603,-87.654706834,2020,3,78TH ST
41.839965158,-87.609379952,2020,3,LAKE SHORE DR NB
41.89295845,-87.748333128,2020,3,LAMON AVE
41.946262278,-87.727489959,2020,3,ADDISON ST
41.882335886,-87.666689106,2020,3,ASHLAND AVE
41.931961634,-87.722028289,2020,3,DIVERSEY AVE
41.841668177,-87.657641517,2020,3,ARCHER AVE
41.706773922,-87.646417831,2020,3,103RD ST
41.753255442,-87.582276224,2020,3,RIDGELAND AVE
41.751020471,-87.615102246,2020,3,DR MARTIN LUTHER KING JR DR
41.883112362,-87.626424335,2020,3,WASHINGTON ST
41.892186304,-87.744150205,2020,3,ERIE ST
41.871054136,-87.754873434,2020,3,LARAMIE AVE
41.699878138,-87.631855086,2020,3,107TH ST
41.898734504,-87.745744934,2020,3,CICERO AVE
41.882584045,-87.755294884,2020,3,LARAMIE AVE
41.735998143,-87.721620259,2020,3,PULASKI RD
41.835769939,-87.675565007,2020,3,DAMEN AVE
41.777947321,-87.761513822,2020,3,63RD ST
41.872955971,-87.68606555,2020,3,WESTERN AVE
41.756350653,-87.623256117,2020,3,WABASH AVE
42.006609162,-87.699655249,2020,3,CALIFORNIA AVE
41.911091646,-87.641163978,2020,3,CLEVELAND AVE
41.847459322,-87.718391204,2020,3,RIDGEWAY AVE
41.878693082,-87.746282124,2020,3,ADAMS ST
41.938138135,-87.804654383,2020,3,BELMONT AVE
41.923846587,-87.775863253,2020,3,AUSTIN AVE
41.771368868,-87.732390493,2020,3,MARQUETTE RD
41.997518303,-87.708224164,2020,3,DEVON AVE
41.990961152,-87.665315726,2020,3,GLENWOOD AVE
41.684622625,-87.682983097,2020,3,115TH ST
41.865024503,-87.710652084,2020,3,HOMAN AVE
41.766793563,-87.716982597,2020,3,69TH PL
41.902642494,-87.716779171,2020,3,DIVISION ST
41.794642669,-87.63177187,2020,3,GARFIELD BLVD
41.924620887,-87.705940914,2020,3,FULLERTON AVE
41.910282255,-87.702273958,2020,3,NORTH AVE
41.852747519,-87.646992053,2020,3,CERMAK RD
41.781351795,-87.690872423,2020,3,WASHTENAW AVE
41.877187741,-87.726279762,2020,3,JACKSON BLVD
